FT_TIPO,FT_CODIGOPRODUCTO,FT_CODIGODEPOSITO,FT_LOTE,FT_LOTEAUTOINCREMENT,FT_NOLINEA,FT_STATUS,FT_PUESTO,FT_EXISTENCIA,FT_EXISTENCIADETALLADA,FT_EXISTENCIAAPARTADA,FT_EXISTENCIAORDENCOMPRA,FT_EXISTENCIAPEDIDO,FT_INVENTARIOINICIALBS,FT_INVENTARIOINICIALUND,FT_CTDTRANSITO,FT_VISIBLE,FT_CODEBARRA,FT_EXISTENCIAAJUSTE,BASE_AUTOINCREMENT,FT_CODE,FT_INVENTARIOINICIALCIERRE,FT_INVENTARIOINICIALBSCIERRE
4,25100-3E001-TO,1,,0,,,,"0,0",,,,,"0,0","11,0",,True,13308,,13308,,"0,0","0,0"
4,25121074,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9049,,9049,,"0,0","0,0"
4,25124-22000,1,,0,,,,"2,0",,,,,"0,0","2,0",,True,8888,,8888,,"2,0","0,0"
4,25124-22000RE,1,,0,,,,"0,0",,,,,"0,01","1,0",,True,8886,,8886,,"0,0","0,0"
4,25124-23000RE,1,,0,,,,"8,0",,,,,"0,08","8,0",,True,8887,,8887,,"8,0","0,08"
4,25182605-AN,1,,0,,,,"5,0",,,,,"4624,45","5,0",,True,15795,,15795,,"5,0","4624,45"
4,25182605-GM,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,13498,,13498,,"0,0","0,0"
4,25183021,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10755,,10755,,"0,0","0,0"
4,25183025,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10089,,10089,,"0,0","0,0"
4,25183772-MH,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,13050,,13050,,"0,0","0,0"
4,251847786-CAP,1,,0,,,,"3,0",,,,,"3104,46","6,0",,True,14451,,14451,,"3,0","1552,23"
4,251847786-GM,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,15481,,15481,,"0,0","0,0"
4,25184786-GM,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,12171,,12171,,"0,0","0,0"
4,25184786RE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10661,,10661,,"0,0","0,0"
4,25187023,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,10850,,10850,,"0,0","0,0"
4,25188973-AP,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,15109,,15109,,"0,0","0,0"
4,25188973-GM,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,14113,,14113,,"0,0","0,0"
4,25189395-GM,1,,0,,,,"15,0",,,,,"0,0","15,0",,True,12525,,12525,,"15,0","0,0"
4,25192208-AN,1,,0,,,,"0,0",,,,,"12328,920000000002","9,0",,True,12084,,12084,,"0,0","0,0"
4,25192208-GM,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,12832,,12832,,"0,0","0,0"
4,25226-24300,1,,0,,,,"4,0",,,,,"0,0","4,0",,True,9391,,9391,,"4,0","0,0"
4,25281-3E011-JO,1,,0,,,,"1,0",,,,,"8604,82","14,0",,True,11187,,11187,,"1,0","614,63"
4,25281-3E011-TW,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9668,,9668,,"0,0","0,0"
4,25286-3E001,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,9400,,9400,,"0,0","0,0"
4,25286-3E001-JO,1,,0,,,,"0,0",,,,,"0,0","16,0",,True,13400,,13400,,"0,0","0,0"
4,25310-0X500-HY,1,,0,,,,"2,0",,,,,"0,0","2,0",,True,15787,,15787,,"2,0","0,0"
4,25310-1C100-HY,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15786,,15786,,"0,0","0,0"
4,25310-1C150-PA16,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9825,,9825,,"0,0","0,0"
4,25310-22000-HY,1,,0,,,,"0,0",,,,,"1734,91","1,0",,True,15785,,15785,,"0,0","0,0"
4,25310-22A00-HY,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15784,,15784,,"0,0","0,0"
4,25310-2D000,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10023,,10023,,"0,0","0,0"
